State,District,Vegetable Name,Unit,Market Price,Retail Price (Min),Retail Price (Max),Shopping Mall Price (Min),Shopping Mall Price (Max)
Andaman and Nicobar,Car Nicobar,Sweet potato,Kg / Pcs, 39, 45 , 50,47 , 64
Andaman and Nicobar,Car Nicobar,Tomato,Kg / Pcs, 30, 35 , 38,36 , 50
Andaman and Nicobar,Mayabunder,Amaranth leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Andaman and Nicobar,Mayabunder,Amla,Kg / Pcs, 75, 86 , 95,90 , 124
Andaman and Nicobar,Mayabunder,Ash gourd,Kg / Pcs, 22, 25 , 28,26 , 36
Andaman and Nicobar,Mayabunder,Baby corn,Kg / Pcs, 59, 68 , 75,71 , 97
Andaman and Nicobar,Mayabunder,Banana flower,Kg / Pcs, 20, 23 , 25,24 , 33
Andaman and Nicobar,Mayabunder,Beetroot,Kg / Pcs, 29, 33 , 37,35 , 48
Andaman and Nicobar,Mayabunder,Bell Pepper (Capsicum),Kg / Pcs, 47, 54 , 60,56 , 78
Andaman and Nicobar,Mayabunder,Bitter gourd,Kg / Pcs, 32, 37 , 41,38 , 53
Andaman and Nicobar,Mayabunder,Bottlegourd,Kg / Pcs, 22, 25 , 28,26 , 36
Andaman and Nicobar,Mayabunder,Butter beans,Kg / Pcs, 47, 54 , 60,56 , 78
Andaman and Nicobar,Mayabunder,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 52, 60 , 66,62 , 86
Andaman and Nicobar,Mayabunder,Cabbage,Kg / Pcs, 19, 22 , 24,23 , 31
Andaman and Nicobar,Mayabunder,Carrot,Kg / Pcs, 30, 35 , 38,36 , 50
Andaman and Nicobar,Mayabunder,Cauliflower,Kg / Pcs, 26, 30 , 33,31 , 43
Andaman and Nicobar,Mayabunder,Cluster beans,Kg / Pcs, 43, 49 , 55,52 , 71
Andaman and Nicobar,Mayabunder,Coconut (fresh),Kg / Pcs, 35, 40 , 44,42 , 58
Andaman and Nicobar,Mayabunder,Colocasia leaves (Taro leaves),Kg / Pcs, 14, 16 , 18,17 , 23
Andaman and Nicobar,Mayabunder,Colocasia roots (Taro roots),Kg / Pcs, 27, 31 , 34,32 , 45
Andaman and Nicobar,Mayabunder,Coriander leaves (Cilantro),Kg / Pcs, 10, 12 , 13,12 , 17
Andaman and Nicobar,Mayabunder,Corn,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Mayabunder,Cucumber,Kg / Pcs, 29, 33 , 37,35 , 48
Andaman and Nicobar,Mayabunder,Curry leaves,Kg / Pcs, 25, 29 , 32,30 , 41
Andaman and Nicobar,Mayabunder,Dill leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Andaman and Nicobar,Mayabunder,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Andaman and Nicobar,Mayabunder,Eggplant (Brinjal or Aubergine),Kg / Pcs, 22, 25 , 28,26 , 36
Andaman and Nicobar,Mayabunder,Brinjal ( Big ),Kg / Pcs, 25, 29 , 32,30 , 41
Andaman and Nicobar,Mayabunder,Elephant Yam,Kg / Pcs, 27, 31 , 34,32 , 45
Andaman and Nicobar,Mayabunder,Fenugreek leaves,Kg / Pcs, 12, 14 , 15,14 , 20
Andaman and Nicobar,Mayabunder,French Beans (Green beans),Kg / Pcs, 53, 61 , 67,64 , 87
Andaman and Nicobar,Mayabunder,Garlic,Kg / Pcs, 134, 154 , 170,161 , 221
Andaman and Nicobar,Mayabunder,Ginger,Kg / Pcs, 102, 117 , 130,122 , 168
Andaman and Nicobar,Mayabunder,Green chili,Kg / Pcs, 49, 56 , 62,59 , 81
Andaman and Nicobar,Mayabunder,Green onion (Scallian or Spring onion),Kg / Pcs, 42, 48 , 53,50 , 69
Andaman and Nicobar,Mayabunder,Green peas,Kg / Pcs, 81, 93 , 103,97 , 134
Andaman and Nicobar,Mayabunder,Ivy gourd,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Mayabunder,Lemon (Lime),Kg / Pcs, 61, 70 , 77,73 , 101
Andaman and Nicobar,Mayabunder,Mango,Kg / Pcs, 75, 86 , 95,90 , 124
Andaman and Nicobar,Mayabunder,Mint leaves,Kg / Pcs, 6, 7 , 8,7 , 10
Andaman and Nicobar,Mayabunder,Mushroom,Kg / Pcs, 85, 98 , 108,102 , 140
Andaman and Nicobar,Mayabunder,Mustard leaves,Kg / Pcs, 13, 15 , 17,16 , 21
Andaman and Nicobar,Mayabunder,Okra (Ladies finger),Kg / Pcs, 36, 41 , 46,43 , 59
Andaman and Nicobar,Mayabunder,Onion Big,Kg / Pcs, 63, 72 , 80,76 , 104
Andaman and Nicobar,Mayabunder,Onion Small,Kg / Pcs, 129, 148 , 164,155 , 213
Andaman and Nicobar,Mayabunder,Plantain (raw banana),Kg / Pcs, 8, 9 , 10,10 , 13
Andaman and Nicobar,Mayabunder,Potato,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Mayabunder,Pumpkin,Kg / Pcs, 20, 23 , 25,24 , 33
Andaman and Nicobar,Mayabunder,Radish (Daikon),Kg / Pcs, 29, 33 , 37,35 , 48
Andaman and Nicobar,Mayabunder,Ridge gourd,Kg / Pcs, 30, 35 , 38,36 , 50
Andaman and Nicobar,Mayabunder,Shallot (pearl onion),Kg / Pcs, 33, 38 , 42,40 , 54
Andaman and Nicobar,Mayabunder,Snake gourd,Kg / Pcs, 27, 31 , 34,32 , 45
Andaman and Nicobar,Mayabunder,Sorrel leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Andaman and Nicobar,Mayabunder,Spinach,Kg / Pcs, 11, 13 , 14,13 , 18
Andaman and Nicobar,Mayabunder,Sweet potato,Kg / Pcs, 39, 45 , 50,47 , 64
Andaman and Nicobar,Mayabunder,Tomato,Kg / Pcs, 29, 33 , 37,35 , 48
Andaman and Nicobar,Port Blair,Amaranth leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Andaman and Nicobar,Port Blair,Amla,Kg / Pcs, 85, 98 , 108,102 , 140
Andaman and Nicobar,Port Blair,Ash gourd,Kg / Pcs, 17, 20 , 22,20 , 28
Andaman and Nicobar,Port Blair,Baby corn,Kg / Pcs, 65, 75 , 83,78 , 107
Andaman and Nicobar,Port Blair,Banana flower,Kg / Pcs, 14, 16 , 18,17 , 23
Andaman and Nicobar,Port Blair,Beetroot,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Port Blair,Bell Pepper (Capsicum),Kg / Pcs, 46, 53 , 58,55 , 76
Andaman and Nicobar,Port Blair,Bitter gourd,Kg / Pcs, 34, 39 , 43,41 , 56
Andaman and Nicobar,Port Blair,Bottlegourd,Kg / Pcs, 22, 25 , 28,26 , 36
Andaman and Nicobar,Port Blair,Butter beans,Kg / Pcs, 50, 58 , 64,60 , 83
Andaman and Nicobar,Port Blair,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 46, 53 , 58,55 , 76
Andaman and Nicobar,Port Blair,Cabbage,Kg / Pcs, 19, 22 , 24,23 , 31
Andaman and Nicobar,Port Blair,Carrot,Kg / Pcs, 30, 35 , 38,36 , 50
Andaman and Nicobar,Port Blair,Cauliflower,Kg / Pcs, 26, 30 , 33,31 , 43
Andaman and Nicobar,Port Blair,Cluster beans,Kg / Pcs, 45, 52 , 57,54 , 74
Andaman and Nicobar,Port Blair,Coconut (fresh),Kg / Pcs, 31, 36 , 39,37 , 51
Andaman and Nicobar,Port Blair,Colocasia leaves (Taro leaves),Kg / Pcs, 15, 17 , 19,18 , 25
Andaman and Nicobar,Port Blair,Colocasia roots (Taro roots),Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Port Blair,Coriander leaves (Cilantro),Kg / Pcs, 9, 10 , 11,11 , 15
Andaman and Nicobar,Port Blair,Corn,Kg / Pcs, 29, 33 , 37,35 , 48
Andaman and Nicobar,Port Blair,Cucumber,Kg / Pcs, 27, 31 , 34,32 , 45
Andaman and Nicobar,Port Blair,Curry leaves,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Port Blair,Dill leaves,Kg / Pcs, 13, 15 , 17,16 , 21
Andaman and Nicobar,Port Blair,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Andaman and Nicobar,Port Blair,Eggplant (Brinjal or Aubergine),Kg / Pcs, 25, 29 , 32,30 , 41
Andaman and Nicobar,Port Blair,Brinjal ( Big ),Kg / Pcs, 20, 23 , 25,24 , 33
Andaman and Nicobar,Port Blair,Elephant Yam,Kg / Pcs, 26, 30 , 33,31 , 43
Andaman and Nicobar,Port Blair,Fenugreek leaves,Kg / Pcs, 12, 14 , 15,14 , 20
Andaman and Nicobar,Port Blair,French Beans (Green beans),Kg / Pcs, 62, 71 , 79,74 , 102
Andaman and Nicobar,Port Blair,Garlic,Kg / Pcs, 137, 158 , 174,164 , 226
Andaman and Nicobar,Port Blair,Ginger,Kg / Pcs, 99, 114 , 126,119 , 163
Andaman and Nicobar,Port Blair,Green chili,Kg / Pcs, 40, 46 , 51,48 , 66
Andaman and Nicobar,Port Blair,Green onion (Scallian or Spring onion),Kg / Pcs, 45, 52 , 57,54 , 74
Andaman and Nicobar,Port Blair,Green peas,Kg / Pcs, 76, 87 , 97,91 , 125
Andaman and Nicobar,Port Blair,Ivy gourd,Kg / Pcs, 25, 29 , 32,30 , 41
Andaman and Nicobar,Port Blair,Lemon (Lime),Kg / Pcs, 61, 70 , 77,73 , 101
Andaman and Nicobar,Port Blair,Mango,Kg / Pcs, 71, 82 , 90,85 , 117
Andaman and Nicobar,Port Blair,Mint leaves,Kg / Pcs, 6, 7 , 8,7 , 10
Andaman and Nicobar,Port Blair,Mushroom,Kg / Pcs, 74, 85 , 94,89 , 122
Andaman and Nicobar,Port Blair,Mustard leaves,Kg / Pcs, 12, 14 , 15,14 , 20
Andaman and Nicobar,Port Blair,Okra (Ladies finger),Kg / Pcs, 41, 47 , 52,49 , 68
Andaman and Nicobar,Port Blair,Onion Big,Kg / Pcs, 65, 75 , 83,78 , 107
Andaman and Nicobar,Port Blair,Onion Small,Kg / Pcs, 138, 159 , 175,166 , 228
Andaman and Nicobar,Port Blair,Plantain (raw banana),Kg / Pcs, 9, 10 , 11,11 , 15
Andaman and Nicobar,Port Blair,Potato,Kg / Pcs, 35, 40 , 44,42 , 58
Andaman and Nicobar,Port Blair,Pumpkin,Kg / Pcs, 23, 26 , 29,28 , 38
Andaman and Nicobar,Port Blair,Radish (Daikon),Kg / Pcs, 32, 37 , 41,38 , 53
Andaman and Nicobar,Port Blair,Ridge gourd,Kg / Pcs, 29, 33 , 37,35 , 48
Andaman and Nicobar,Port Blair,Shallot (pearl onion),Kg / Pcs, 31, 36 , 39,37 , 51
Andaman and Nicobar,Port Blair,Snake gourd,Kg / Pcs, 28, 32 , 36,34 , 46
Andaman and Nicobar,Port Blair,Sorrel leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Andaman and Nicobar,Port Blair,Spinach,Kg / Pcs, 10, 12 , 13,12 , 17
Andaman and Nicobar,Port Blair,Sweet potato,Kg / Pcs, 38, 44 , 48,46 , 63
Andaman and Nicobar,Port Blair,Tomato,Kg / Pcs, 30, 35 , 38,36 , 50
Andhra Pradesh,Anantapur,Amaranth leaves,Kg / Pcs, 13, 15 , 17,16 , 21
Andhra Pradesh,Anantapur,Amla,Kg / Pcs, 70, 81 , 89,84 , 116
Andhra Pradesh,Anantapur,Ash gourd,Kg / Pcs, 17, 20 , 22,20 , 28
Andhra Pradesh,Anantapur,Baby corn,Kg / Pcs, 58, 67 , 74,70 , 96
Andhra Pradesh,Anantapur,Banana flower,Kg / Pcs, 17, 20 , 22,20 , 28
Andhra Pradesh,Anantapur,Beetroot,Kg / Pcs, 30, 35 , 38,36 , 50
Andhra Pradesh,Anantapur,Bell Pepper (Capsicum),Kg / Pcs, 41, 47 , 52,49 , 68
Andhra Pradesh,Anantapur,Bitter gourd,Kg / Pcs, 34, 39 , 43,41 , 56
Andhra Pradesh,Anantapur,Bottlegourd,Kg / Pcs, 23, 26 , 29,28 , 38
Andhra Pradesh,Anantapur,Butter beans,Kg / Pcs, 47, 54 , 60,56 , 78
Andhra Pradesh,Anantapur,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 48, 55 , 61,58 , 79
Andhra Pradesh,Anantapur,Cabbage,Kg / Pcs, 18, 21 , 23,22 , 30
Andhra Pradesh,Anantapur,Carrot,Kg / Pcs, 31, 36 , 39,37 , 51
Andhra Pradesh,Anantapur,Cauliflower,Kg / Pcs, 27, 31 , 34,32 , 45
Andhra Pradesh,Anantapur,Cluster beans,Kg / Pcs, 44, 51 , 56,53 , 73
Andhra Pradesh,Anantapur,Coconut (fresh),Kg / Pcs, 32, 37 , 41,38 , 53
Andhra Pradesh,Anantapur,Colocasia leaves (Taro leaves),Kg / Pcs, 13, 15 , 17,16 , 21
Andhra Pradesh,Anantapur,Colocasia roots (Taro roots),Kg / Pcs, 30, 35 , 38,36 , 50
Andhra Pradesh,Anantapur,Coriander leaves (Cilantro),Kg / Pcs, 9, 10 , 11,11 , 15
Andhra Pradesh,Anantapur,Corn,Kg / Pcs, 25, 29 , 32,30 , 41
Andhra Pradesh,Anantapur,Cucumber,Kg / Pcs, 29, 33 , 37,35 , 48
Andhra Pradesh,Anantapur,Curry leaves,Kg / Pcs, 26, 30 , 33,31 , 43
Andhra Pradesh,Anantapur,Dill leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Andhra Pradesh,Anantapur,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Andhra Pradesh,Anantapur,Eggplant (Brinjal or Aubergine),Kg / Pcs, 22, 25 , 28,26 , 36
Andhra Pradesh,Anantapur,Brinjal ( Big ),Kg / Pcs, 26, 30 , 33,31 , 43
Andhra Pradesh,Anantapur,Elephant Yam,Kg / Pcs, 30, 35 , 38,36 , 50
Andhra Pradesh,Anantapur,Fenugreek leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Andhra Pradesh,Anantapur,French Beans (Green beans),Kg / Pcs, 58, 67 , 74,70 , 96
Andhra Pradesh,Anantapur,Garlic,Kg / Pcs, 136, 156 , 173,163 , 224
Andhra Pradesh,Anantapur,Ginger,Kg / Pcs, 103, 118 , 131,124 , 170
Andhra Pradesh,Anantapur,Green chili,Kg / Pcs, 47, 54 , 60,56 , 78
Andhra Pradesh,Anantapur,Green onion (Scallian or Spring onion),Kg / Pcs, 43, 49 , 55,52 , 71
Andhra Pradesh,Anantapur,Green peas,Kg / Pcs, 75, 86 , 95,90 , 124
Andhra Pradesh,Anantapur,Ivy gourd,Kg / Pcs, 27, 31 , 34,32 , 45
Andhra Pradesh,Anantapur,Lemon (Lime),Kg / Pcs, 70, 81 , 89,84 , 116
Andhra Pradesh,Anantapur,Mango,Kg / Pcs, 72, 83 , 91,86 , 119
Andhra Pradesh,Anantapur,Mint leaves,Kg / Pcs, 3, 3 , 4,4 , 5
Andhra Pradesh,Anantapur,Mushroom,Kg / Pcs, 87, 100 , 110,104 , 144
Andhra Pradesh,Anantapur,Mustard leaves,Kg / Pcs, 17, 20 , 22,20 , 28
Andhra Pradesh,Anantapur,Okra (Ladies finger),Kg / Pcs, 39, 45 , 50,47 , 64
Andhra Pradesh,Anantapur,Onion Big,Kg / Pcs, 64, 74 , 81,77 , 106
Andhra Pradesh,Anantapur,Onion Small,Kg / Pcs, 121, 139 , 154,145 , 200
Andhra Pradesh,Anantapur,Plantain (raw banana),Kg / Pcs, 7, 8 , 9,8 , 12
Andhra Pradesh,Anantapur,Potato,Kg / Pcs, 34, 39 , 43,41 , 56
Andhra Pradesh,Anantapur,Pumpkin,Kg / Pcs, 19, 22 , 24,23 , 31
Andhra Pradesh,Anantapur,Radish (Daikon),Kg / Pcs, 30, 35 , 38,36 , 50
Andhra Pradesh,Anantapur,Ridge gourd,Kg / Pcs, 28, 32 , 36,34 , 46
Andhra Pradesh,Anantapur,Shallot (pearl onion),Kg / Pcs, 31, 36 , 39,37 , 51
Andhra Pradesh,Anantapur,Snake gourd,Kg / Pcs, 26, 30 , 33,31 , 43
Andhra Pradesh,Anantapur,Sorrel leaves,Kg / Pcs, 14, 16 , 18,17 , 23
Andhra Pradesh,Anantapur,Spinach,Kg / Pcs, 11, 13 , 14,13 , 18
Andhra Pradesh,Anantapur,Sweet potato,Kg / Pcs, 38, 44 , 48,46 , 63
Andhra Pradesh,Anantapur,Tomato,Kg / Pcs, 27, 31 , 34,32 , 45
Andhra Pradesh,Chittoor,Amaranth leaves,Kg / Pcs, 10, 12 , 13,12 , 17
Andhra Pradesh,Chittoor,Amla,Kg / Pcs, 90, 104 , 114,108 , 149
Andhra Pradesh,Chittoor,Ash gourd,Kg / Pcs, 21, 24 , 27,25 , 35
Andhra Pradesh,Chittoor,Baby corn,Kg / Pcs, 56, 64 , 71,67 , 92
Andhra Pradesh,Chittoor,Banana flower,Kg / Pcs, 16, 18 , 20,19 , 26
Andhra Pradesh,Chittoor,Beetroot,Kg / Pcs, 31, 36 , 39,37 , 51
Andhra Pradesh,Chittoor,Bell Pepper (Capsicum),Kg / Pcs, 48, 55 , 61,58 , 79
Andhra Pradesh,Chittoor,Bitter gourd,Kg / Pcs, 35, 40 , 44,42 , 58
Andhra Pradesh,Chittoor,Bottlegourd,Kg / Pcs, 24, 28 , 30,29 , 40
Andhra Pradesh,Chittoor,Butter beans,Kg / Pcs, 45, 52 , 57,54 , 74
Andhra Pradesh,Chittoor,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 51, 59 , 65,61 , 84
Andhra Pradesh,Chittoor,Cabbage,Kg / Pcs, 18, 21 , 23,22 , 30
Andhra Pradesh,Chittoor,Carrot,Kg / Pcs, 30, 35 , 38,36 , 50
Andhra Pradesh,Chittoor,Cauliflower,Kg / Pcs, 28, 32 , 36,34 , 46
Andhra Pradesh,Chittoor,Cluster beans,Kg / Pcs, 45, 52 , 57,54 , 74
Andhra Pradesh,Chittoor,Coconut (fresh),Kg / Pcs, 35, 40 , 44,42 , 58
Andhra Pradesh,Chittoor,Colocasia leaves (Taro leaves),Kg / Pcs, 17, 20 , 22,20 , 28
Andhra Pradesh,Chittoor,Colocasia roots (Taro roots),Kg / Pcs, 28, 32 , 36,34 , 46
Andhra Pradesh,Chittoor,Coriander leaves (Cilantro),Kg / Pcs, 9, 10 , 11,11 , 15
Andhra Pradesh,Chittoor,Corn,Kg / Pcs, 29, 33 , 37,35 , 48
Andhra Pradesh,Chittoor,Cucumber,Kg / Pcs, 28, 32 , 36,34 , 46
Andhra Pradesh,Chittoor,Curry leaves,Kg / Pcs, 25, 29 , 32,30 , 41
Andhra Pradesh,Chittoor,Dill leaves,Kg / Pcs, 13, 15 , 17,16 , 21
Andhra Pradesh,Chittoor,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Andhra Pradesh,Chittoor,Eggplant (Brinjal or Aubergine),Kg / Pcs, 25, 29 , 32,30 , 41
Andhra Pradesh,Chittoor,Brinjal ( Big ),Kg / Pcs, 21, 24 , 27,25 , 35
Andhra Pradesh,Chittoor,Elephant Yam,Kg / Pcs, 24, 28 , 30,29 , 40
Andhra Pradesh,Chittoor,Fenugreek leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Andhra Pradesh,Chittoor,French Beans (Green beans),Kg / Pcs, 55, 63 , 70,66 , 91
Andhra Pradesh,Chittoor,Garlic,Kg / Pcs, 139, 160 , 177,167 , 229
Andhra Pradesh,Chittoor,Ginger,Kg / Pcs, 97, 112 , 123,116 , 160
Andhra Pradesh,Chittoor,Green chili,Kg / Pcs, 47, 54 , 60,56 , 78
Andhra Pradesh,Chittoor,Green onion (Scallian or Spring onion),Kg / Pcs, 42, 48 , 53,50 , 69
Andhra Pradesh,Chittoor,Green peas,Kg / Pcs, 79, 91 , 100,95 , 130
Andhra Pradesh,Chittoor,Ivy gourd,Kg / Pcs, 23, 26 , 29,28 , 38
Andhra Pradesh,Chittoor,Lemon (Lime),Kg / Pcs, 68, 78 , 86,82 , 112
Andhra Pradesh,Chittoor,Mango,Kg / Pcs, 78, 90 , 99,94 , 129
Andhra Pradesh,Chittoor,Mint leaves,Kg / Pcs, 5, 6 , 6,6 , 8
Andhra Pradesh,Chittoor,Mushroom,Kg / Pcs, 84, 97 , 107,101 , 139
Andhra Pradesh,Chittoor,Mustard leaves,Kg / Pcs, 16, 18 , 20,19 , 26
Andhra Pradesh,Chittoor,Okra (Ladies finger),Kg / Pcs, 35, 40 , 44,42 , 58
Andhra Pradesh,Chittoor,Onion Big,Kg / Pcs, 63, 72 , 80,76 , 104
Andhra Pradesh,Chittoor,Onion Small,Kg / Pcs, 126, 145 , 160,151 , 208
Andhra Pradesh,Chittoor,Plantain (raw banana),Kg / Pcs, 10, 12 , 13,12 , 17
Andhra Pradesh,Chittoor,Potato,Kg / Pcs, 32, 37 , 41,38 , 53
Andhra Pradesh,Chittoor,Pumpkin,Kg / Pcs, 21, 24 , 27,25 , 35
Andhra Pradesh,Chittoor,Radish (Daikon),Kg / Pcs, 31, 36 , 39,37 , 51
Andhra Pradesh,Chittoor,Ridge gourd,Kg / Pcs, 26, 30 , 33,31 , 43
Andhra Pradesh,Chittoor,Shallot (pearl onion),Kg / Pcs, 35, 40 , 44,42 , 58
Andhra Pradesh,Chittoor,Snake gourd,Kg / Pcs, 27, 31 , 34,32 , 45
Andhra Pradesh,Chittoor,Sorrel leaves,Kg / Pcs, 10, 12 , 13,12 , 17
Andhra Pradesh,Chittoor,Spinach,Kg / Pcs, 11, 13 , 14,13 , 18
Andhra Pradesh,Chittoor,Sweet potato,Kg / Pcs, 39, 45 , 50,47 , 64
Andhra Pradesh,Chittoor,Tomato,Kg / Pcs, 26, 30 , 33,31 , 43
Andhra Pradesh,Eluru,Amaranth leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Andhra Pradesh,Eluru,Amla,Kg / Pcs, 90, 104 , 114,108 , 149
Andhra Pradesh,Eluru,Ash gourd,Kg / Pcs, 22, 25 , 28,26 , 36
Andhra Pradesh,Eluru,Baby corn,Kg / Pcs, 60, 69 , 76,72 , 99
Andhra Pradesh,Eluru,Banana flower,Kg / Pcs, 22, 25 , 28,26 , 36
