State,District,Vegetable Name,Unit,Market Price,Retail Price (Min),Retail Price (Max),Shopping Mall Price (Min),Shopping Mall Price (Max)
Bihar,Samastipur,Sweet potato,Kg / Pcs, 36, 41 , 46,43 , 59
Bihar,Samastipur,Tomato,Kg / Pcs, 27, 31 , 34,32 , 45
Bihar,Sasaram,Amaranth leaves,Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Sasaram,Amla,Kg / Pcs, 70, 81 , 89,84 , 116
Bihar,Sasaram,Ash gourd,Kg / Pcs, 21, 24 , 27,25 , 35
Bihar,Sasaram,Baby corn,Kg / Pcs, 55, 63 , 70,66 , 91
Bihar,Sasaram,Banana flower,Kg / Pcs, 17, 20 , 22,20 , 28
Bihar,Sasaram,Beetroot,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Sasaram,Bell Pepper (Capsicum),Kg / Pcs, 46, 53 , 58,55 , 76
Bihar,Sasaram,Bitter gourd,Kg / Pcs, 31, 36 , 39,37 , 51
Bihar,Sasaram,Bottlegourd,Kg / Pcs, 24, 28 , 30,29 , 40
Bihar,Sasaram,Butter beans,Kg / Pcs, 45, 52 , 57,54 , 74
Bihar,Sasaram,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 50, 58 , 64,60 , 83
Bihar,Sasaram,Cabbage,Kg / Pcs, 19, 22 , 24,23 , 31
Bihar,Sasaram,Carrot,Kg / Pcs, 31, 36 , 39,37 , 51
Bihar,Sasaram,Cauliflower,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sasaram,Cluster beans,Kg / Pcs, 40, 46 , 51,48 , 66
Bihar,Sasaram,Coconut (fresh),Kg / Pcs, 35, 40 , 44,42 , 58
Bihar,Sasaram,Colocasia leaves (Taro leaves),Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Sasaram,Colocasia roots (Taro roots),Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sasaram,Coriander leaves (Cilantro),Kg / Pcs, 11, 13 , 14,13 , 18
Bihar,Sasaram,Corn,Kg / Pcs, 25, 29 , 32,30 , 41
Bihar,Sasaram,Cucumber,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sasaram,Curry leaves,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sasaram,Dill leaves,Kg / Pcs, 14, 16 , 18,17 , 23
Bihar,Sasaram,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Bihar,Sasaram,Eggplant (Brinjal or Aubergine),Kg / Pcs, 22, 25 , 28,26 , 36
Bihar,Sasaram,Brinjal ( Big ),Kg / Pcs, 24, 28 , 30,29 , 40
Bihar,Sasaram,Elephant Yam,Kg / Pcs, 25, 29 , 32,30 , 41
Bihar,Sasaram,Fenugreek leaves,Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Sasaram,French Beans (Green beans),Kg / Pcs, 55, 63 , 70,66 , 91
Bihar,Sasaram,Garlic,Kg / Pcs, 131, 151 , 166,157 , 216
Bihar,Sasaram,Ginger,Kg / Pcs, 90, 104 , 114,108 , 149
Bihar,Sasaram,Green chili,Kg / Pcs, 47, 54 , 60,56 , 78
Bihar,Sasaram,Green onion (Scallian or Spring onion),Kg / Pcs, 42, 48 , 53,50 , 69
Bihar,Sasaram,Green peas,Kg / Pcs, 76, 87 , 97,91 , 125
Bihar,Sasaram,Ivy gourd,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sasaram,Lemon (Lime),Kg / Pcs, 61, 70 , 77,73 , 101
Bihar,Sasaram,Mango,Kg / Pcs, 71, 82 , 90,85 , 117
Bihar,Sasaram,Mint leaves,Kg / Pcs, 5, 6 , 6,6 , 8
Bihar,Sasaram,Mushroom,Kg / Pcs, 75, 86 , 95,90 , 124
Bihar,Sasaram,Mustard leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Sasaram,Okra (Ladies finger),Kg / Pcs, 37, 43 , 47,44 , 61
Bihar,Sasaram,Onion Big,Kg / Pcs, 63, 72 , 80,76 , 104
Bihar,Sasaram,Onion Small,Kg / Pcs, 126, 145 , 160,151 , 208
Bihar,Sasaram,Plantain (raw banana),Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Sasaram,Potato,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sasaram,Pumpkin,Kg / Pcs, 17, 20 , 22,20 , 28
Bihar,Sasaram,Radish (Daikon),Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sasaram,Ridge gourd,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sasaram,Shallot (pearl onion),Kg / Pcs, 33, 38 , 42,40 , 54
Bihar,Sasaram,Snake gourd,Kg / Pcs, 25, 29 , 32,30 , 41
Bihar,Sasaram,Sorrel leaves,Kg / Pcs, 12, 14 , 15,14 , 20
Bihar,Sasaram,Spinach,Kg / Pcs, 16, 18 , 20,19 , 26
Bihar,Sasaram,Sweet potato,Kg / Pcs, 36, 41 , 46,43 , 59
Bihar,Sasaram,Tomato,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sheikhpura,Amaranth leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Sheikhpura,Amla,Kg / Pcs, 95, 109 , 121,114 , 157
Bihar,Sheikhpura,Ash gourd,Kg / Pcs, 17, 20 , 22,20 , 28
Bihar,Sheikhpura,Baby corn,Kg / Pcs, 58, 67 , 74,70 , 96
Bihar,Sheikhpura,Banana flower,Kg / Pcs, 20, 23 , 25,24 , 33
Bihar,Sheikhpura,Beetroot,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Sheikhpura,Bell Pepper (Capsicum),Kg / Pcs, 47, 54 , 60,56 , 78
Bihar,Sheikhpura,Bitter gourd,Kg / Pcs, 33, 38 , 42,40 , 54
Bihar,Sheikhpura,Bottlegourd,Kg / Pcs, 23, 26 , 29,28 , 38
Bihar,Sheikhpura,Butter beans,Kg / Pcs, 47, 54 , 60,56 , 78
Bihar,Sheikhpura,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 50, 58 , 64,60 , 83
Bihar,Sheikhpura,Cabbage,Kg / Pcs, 17, 20 , 22,20 , 28
Bihar,Sheikhpura,Carrot,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sheikhpura,Cauliflower,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sheikhpura,Cluster beans,Kg / Pcs, 44, 51 , 56,53 , 73
Bihar,Sheikhpura,Coconut (fresh),Kg / Pcs, 36, 41 , 46,43 , 59
Bihar,Sheikhpura,Colocasia leaves (Taro leaves),Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Sheikhpura,Colocasia roots (Taro roots),Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sheikhpura,Coriander leaves (Cilantro),Kg / Pcs, 12, 14 , 15,14 , 20
Bihar,Sheikhpura,Corn,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sheikhpura,Cucumber,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sheikhpura,Curry leaves,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sheikhpura,Dill leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Bihar,Sheikhpura,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Bihar,Sheikhpura,Eggplant (Brinjal or Aubergine),Kg / Pcs, 25, 29 , 32,30 , 41
Bihar,Sheikhpura,Brinjal ( Big ),Kg / Pcs, 21, 24 , 27,25 , 35
Bihar,Sheikhpura,Elephant Yam,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sheikhpura,Fenugreek leaves,Kg / Pcs, 12, 14 , 15,14 , 20
Bihar,Sheikhpura,French Beans (Green beans),Kg / Pcs, 58, 67 , 74,70 , 96
Bihar,Sheikhpura,Garlic,Kg / Pcs, 139, 160 , 177,167 , 229
Bihar,Sheikhpura,Ginger,Kg / Pcs, 109, 125 , 138,131 , 180
Bihar,Sheikhpura,Green chili,Kg / Pcs, 50, 58 , 64,60 , 83
Bihar,Sheikhpura,Green onion (Scallian or Spring onion),Kg / Pcs, 40, 46 , 51,48 , 66
Bihar,Sheikhpura,Green peas,Kg / Pcs, 75, 86 , 95,90 , 124
Bihar,Sheikhpura,Ivy gourd,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Sheikhpura,Lemon (Lime),Kg / Pcs, 66, 76 , 84,79 , 109
Bihar,Sheikhpura,Mango,Kg / Pcs, 71, 82 , 90,85 , 117
Bihar,Sheikhpura,Mint leaves,Kg / Pcs, 4, 5 , 5,5 , 7
Bihar,Sheikhpura,Mushroom,Kg / Pcs, 94, 108 , 119,113 , 155
Bihar,Sheikhpura,Mustard leaves,Kg / Pcs, 14, 16 , 18,17 , 23
Bihar,Sheikhpura,Okra (Ladies finger),Kg / Pcs, 42, 48 , 53,50 , 69
Bihar,Sheikhpura,Onion Big,Kg / Pcs, 63, 72 , 80,76 , 104
Bihar,Sheikhpura,Onion Small,Kg / Pcs, 122, 140 , 155,146 , 201
Bihar,Sheikhpura,Plantain (raw banana),Kg / Pcs, 7, 8 , 9,8 , 12
Bihar,Sheikhpura,Potato,Kg / Pcs, 34, 39 , 43,41 , 56
Bihar,Sheikhpura,Pumpkin,Kg / Pcs, 20, 23 , 25,24 , 33
Bihar,Sheikhpura,Radish (Daikon),Kg / Pcs, 33, 38 , 42,40 , 54
Bihar,Sheikhpura,Ridge gourd,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sheikhpura,Shallot (pearl onion),Kg / Pcs, 32, 37 , 41,38 , 53
Bihar,Sheikhpura,Snake gourd,Kg / Pcs, 24, 28 , 30,29 , 40
Bihar,Sheikhpura,Sorrel leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Sheikhpura,Spinach,Kg / Pcs, 11, 13 , 14,13 , 18
Bihar,Sheikhpura,Sweet potato,Kg / Pcs, 38, 44 , 48,46 , 63
Bihar,Sheikhpura,Tomato,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Sheohar,Amaranth leaves,Kg / Pcs, 13, 15 , 17,16 , 21
Bihar,Sheohar,Amla,Kg / Pcs, 80, 92 , 102,96 , 132
Bihar,Sheohar,Ash gourd,Kg / Pcs, 22, 25 , 28,26 , 36
Bihar,Sheohar,Baby corn,Kg / Pcs, 65, 75 , 83,78 , 107
Bihar,Sheohar,Banana flower,Kg / Pcs, 18, 21 , 23,22 , 30
Bihar,Sheohar,Beetroot,Kg / Pcs, 31, 36 , 39,37 , 51
Bihar,Sheohar,Bell Pepper (Capsicum),Kg / Pcs, 43, 49 , 55,52 , 71
Bihar,Sheohar,Bitter gourd,Kg / Pcs, 32, 37 , 41,38 , 53
Bihar,Sheohar,Bottlegourd,Kg / Pcs, 22, 25 , 28,26 , 36
Bihar,Sheohar,Butter beans,Kg / Pcs, 50, 58 , 64,60 , 83
Bihar,Sheohar,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 49, 56 , 62,59 , 81
Bihar,Sheohar,Cabbage,Kg / Pcs, 18, 21 , 23,22 , 30
Bihar,Sheohar,Carrot,Kg / Pcs, 32, 37 , 41,38 , 53
Bihar,Sheohar,Cauliflower,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Sheohar,Cluster beans,Kg / Pcs, 43, 49 , 55,52 , 71
Bihar,Sheohar,Coconut (fresh),Kg / Pcs, 31, 36 , 39,37 , 51
Bihar,Sheohar,Colocasia leaves (Taro leaves),Kg / Pcs, 12, 14 , 15,14 , 20
Bihar,Sheohar,Colocasia roots (Taro roots),Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Sheohar,Coriander leaves (Cilantro),Kg / Pcs, 11, 13 , 14,13 , 18
Bihar,Sheohar,Corn,Kg / Pcs, 27, 31 , 34,32 , 45
Bihar,Sheohar,Cucumber,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sheohar,Curry leaves,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sheohar,Dill leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Bihar,Sheohar,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Bihar,Sheohar,Eggplant (Brinjal or Aubergine),Kg / Pcs, 22, 25 , 28,26 , 36
Bihar,Sheohar,Brinjal ( Big ),Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sheohar,Elephant Yam,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Sheohar,Fenugreek leaves,Kg / Pcs, 12, 14 , 15,14 , 20
Bihar,Sheohar,French Beans (Green beans),Kg / Pcs, 54, 62 , 69,65 , 89
Bihar,Sheohar,Garlic,Kg / Pcs, 153, 176 , 194,184 , 252
Bihar,Sheohar,Ginger,Kg / Pcs, 107, 123 , 136,128 , 177
Bihar,Sheohar,Green chili,Kg / Pcs, 47, 54 , 60,56 , 78
Bihar,Sheohar,Green onion (Scallian or Spring onion),Kg / Pcs, 42, 48 , 53,50 , 69
Bihar,Sheohar,Green peas,Kg / Pcs, 76, 87 , 97,91 , 125
Bihar,Sheohar,Ivy gourd,Kg / Pcs, 24, 28 , 30,29 , 40
Bihar,Sheohar,Lemon (Lime),Kg / Pcs, 62, 71 , 79,74 , 102
Bihar,Sheohar,Mango,Kg / Pcs, 72, 83 , 91,86 , 119
Bihar,Sheohar,Mint leaves,Kg / Pcs, 5, 6 , 6,6 , 8
Bihar,Sheohar,Mushroom,Kg / Pcs, 90, 104 , 114,108 , 149
Bihar,Sheohar,Mustard leaves,Kg / Pcs, 14, 16 , 18,17 , 23
Bihar,Sheohar,Okra (Ladies finger),Kg / Pcs, 40, 46 , 51,48 , 66
Bihar,Sheohar,Onion Big,Kg / Pcs, 64, 74 , 81,77 , 106
Bihar,Sheohar,Onion Small,Kg / Pcs, 132, 152 , 168,158 , 218
Bihar,Sheohar,Plantain (raw banana),Kg / Pcs, 6, 7 , 8,7 , 10
Bihar,Sheohar,Potato,Kg / Pcs, 32, 37 , 41,38 , 53
Bihar,Sheohar,Pumpkin,Kg / Pcs, 19, 22 , 24,23 , 31
Bihar,Sheohar,Radish (Daikon),Kg / Pcs, 34, 39 , 43,41 , 56
Bihar,Sheohar,Ridge gourd,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Sheohar,Shallot (pearl onion),Kg / Pcs, 37, 43 , 47,44 , 61
Bihar,Sheohar,Snake gourd,Kg / Pcs, 24, 28 , 30,29 , 40
Bihar,Sheohar,Sorrel leaves,Kg / Pcs, 13, 15 , 17,16 , 21
Bihar,Sheohar,Spinach,Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Sheohar,Sweet potato,Kg / Pcs, 36, 41 , 46,43 , 59
Bihar,Sheohar,Tomato,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sitamarhi,Amaranth leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Sitamarhi,Amla,Kg / Pcs, 85, 98 , 108,102 , 140
Bihar,Sitamarhi,Ash gourd,Kg / Pcs, 20, 23 , 25,24 , 33
Bihar,Sitamarhi,Baby corn,Kg / Pcs, 58, 67 , 74,70 , 96
Bihar,Sitamarhi,Banana flower,Kg / Pcs, 17, 20 , 22,20 , 28
Bihar,Sitamarhi,Beetroot,Kg / Pcs, 31, 36 , 39,37 , 51
Bihar,Sitamarhi,Bell Pepper (Capsicum),Kg / Pcs, 49, 56 , 62,59 , 81
Bihar,Sitamarhi,Bitter gourd,Kg / Pcs, 36, 41 , 46,43 , 59
Bihar,Sitamarhi,Bottlegourd,Kg / Pcs, 22, 25 , 28,26 , 36
Bihar,Sitamarhi,Butter beans,Kg / Pcs, 50, 58 , 64,60 , 83
Bihar,Sitamarhi,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 48, 55 , 61,58 , 79
Bihar,Sitamarhi,Cabbage,Kg / Pcs, 21, 24 , 27,25 , 35
Bihar,Sitamarhi,Carrot,Kg / Pcs, 32, 37 , 41,38 , 53
Bihar,Sitamarhi,Cauliflower,Kg / Pcs, 24, 28 , 30,29 , 40
Bihar,Sitamarhi,Cluster beans,Kg / Pcs, 44, 51 , 56,53 , 73
Bihar,Sitamarhi,Coconut (fresh),Kg / Pcs, 35, 40 , 44,42 , 58
Bihar,Sitamarhi,Colocasia leaves (Taro leaves),Kg / Pcs, 18, 21 , 23,22 , 30
Bihar,Sitamarhi,Colocasia roots (Taro roots),Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sitamarhi,Coriander leaves (Cilantro),Kg / Pcs, 12, 14 , 15,14 , 20
Bihar,Sitamarhi,Corn,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Sitamarhi,Cucumber,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sitamarhi,Curry leaves,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sitamarhi,Dill leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Bihar,Sitamarhi,Drumsticks,Kg / Pcs, 90, 104 , 114,108 , 149
Bihar,Sitamarhi,Eggplant (Brinjal or Aubergine),Kg / Pcs, 25, 29 , 32,30 , 41
Bihar,Sitamarhi,Brinjal ( Big ),Kg / Pcs, 21, 24 , 27,25 , 35
Bihar,Sitamarhi,Elephant Yam,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sitamarhi,Fenugreek leaves,Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Sitamarhi,French Beans (Green beans),Kg / Pcs, 53, 61 , 67,64 , 87
Bihar,Sitamarhi,Garlic,Kg / Pcs, 153, 176 , 194,184 , 252
Bihar,Sitamarhi,Ginger,Kg / Pcs, 95, 109 , 121,114 , 157
Bihar,Sitamarhi,Green chili,Kg / Pcs, 42, 48 , 53,50 , 69
Bihar,Sitamarhi,Green onion (Scallian or Spring onion),Kg / Pcs, 41, 47 , 52,49 , 68
Bihar,Sitamarhi,Green peas,Kg / Pcs, 80, 92 , 102,96 , 132
Bihar,Sitamarhi,Ivy gourd,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sitamarhi,Lemon (Lime),Kg / Pcs, 62, 71 , 79,74 , 102
Bihar,Sitamarhi,Mango,Kg / Pcs, 71, 82 , 90,85 , 117
Bihar,Sitamarhi,Mint leaves,Kg / Pcs, 6, 7 , 8,7 , 10
Bihar,Sitamarhi,Mushroom,Kg / Pcs, 92, 106 , 117,110 , 152
Bihar,Sitamarhi,Mustard leaves,Kg / Pcs, 16, 18 , 20,19 , 26
Bihar,Sitamarhi,Okra (Ladies finger),Kg / Pcs, 40, 46 , 51,48 , 66
Bihar,Sitamarhi,Onion Big,Kg / Pcs, 60, 69 , 76,72 , 99
Bihar,Sitamarhi,Onion Small,Kg / Pcs, 134, 154 , 170,161 , 221
Bihar,Sitamarhi,Plantain (raw banana),Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Sitamarhi,Potato,Kg / Pcs, 31, 36 , 39,37 , 51
Bihar,Sitamarhi,Pumpkin,Kg / Pcs, 18, 21 , 23,22 , 30
Bihar,Sitamarhi,Radish (Daikon),Kg / Pcs, 35, 40 , 44,42 , 58
Bihar,Sitamarhi,Ridge gourd,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Sitamarhi,Shallot (pearl onion),Kg / Pcs, 33, 38 , 42,40 , 54
Bihar,Sitamarhi,Snake gourd,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Sitamarhi,Sorrel leaves,Kg / Pcs, 13, 15 , 17,16 , 21
Bihar,Sitamarhi,Spinach,Kg / Pcs, 14, 16 , 18,17 , 23
Bihar,Sitamarhi,Sweet potato,Kg / Pcs, 40, 46 , 51,48 , 66
Bihar,Sitamarhi,Tomato,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Siwan,Amaranth leaves,Kg / Pcs, 13, 15 , 17,16 , 21
Bihar,Siwan,Amla,Kg / Pcs, 90, 104 , 114,108 , 149
Bihar,Siwan,Ash gourd,Kg / Pcs, 18, 21 , 23,22 , 30
Bihar,Siwan,Baby corn,Kg / Pcs, 59, 68 , 75,71 , 97
Bihar,Siwan,Banana flower,Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Siwan,Beetroot,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Siwan,Bell Pepper (Capsicum),Kg / Pcs, 42, 48 , 53,50 , 69
Bihar,Siwan,Bitter gourd,Kg / Pcs, 36, 41 , 46,43 , 59
Bihar,Siwan,Bottlegourd,Kg / Pcs, 23, 26 , 29,28 , 38
Bihar,Siwan,Butter beans,Kg / Pcs, 49, 56 , 62,59 , 81
Bihar,Siwan,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 52, 60 , 66,62 , 86
Bihar,Siwan,Cabbage,Kg / Pcs, 20, 23 , 25,24 , 33
Bihar,Siwan,Carrot,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Siwan,Cauliflower,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Siwan,Cluster beans,Kg / Pcs, 41, 47 , 52,49 , 68
Bihar,Siwan,Coconut (fresh),Kg / Pcs, 33, 38 , 42,40 , 54
Bihar,Siwan,Colocasia leaves (Taro leaves),Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Siwan,Colocasia roots (Taro roots),Kg / Pcs, 27, 31 , 34,32 , 45
Bihar,Siwan,Coriander leaves (Cilantro),Kg / Pcs, 8, 9 , 10,10 , 13
Bihar,Siwan,Corn,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Siwan,Cucumber,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Siwan,Curry leaves,Kg / Pcs, 25, 29 , 32,30 , 41
Bihar,Siwan,Dill leaves,Kg / Pcs, 14, 16 , 18,17 , 23
Bihar,Siwan,Drumsticks,Kg / Pcs, 80, 92 , 102,96 , 132
Bihar,Siwan,Eggplant (Brinjal or Aubergine),Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Siwan,Brinjal ( Big ),Kg / Pcs, 22, 25 , 28,26 , 36
Bihar,Siwan,Elephant Yam,Kg / Pcs, 27, 31 , 34,32 , 45
Bihar,Siwan,Fenugreek leaves,Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Siwan,French Beans (Green beans),Kg / Pcs, 52, 60 , 66,62 , 86
Bihar,Siwan,Garlic,Kg / Pcs, 152, 175 , 193,182 , 251
Bihar,Siwan,Ginger,Kg / Pcs, 105, 121 , 133,126 , 173
Bihar,Siwan,Green chili,Kg / Pcs, 47, 54 , 60,56 , 78
Bihar,Siwan,Green onion (Scallian or Spring onion),Kg / Pcs, 40, 46 , 51,48 , 66
Bihar,Siwan,Green peas,Kg / Pcs, 77, 89 , 98,92 , 127
Bihar,Siwan,Ivy gourd,Kg / Pcs, 24, 28 , 30,29 , 40
Bihar,Siwan,Lemon (Lime),Kg / Pcs, 62, 71 , 79,74 , 102
Bihar,Siwan,Mango,Kg / Pcs, 77, 89 , 98,92 , 127
Bihar,Siwan,Mint leaves,Kg / Pcs, 6, 7 , 8,7 , 10
Bihar,Siwan,Mushroom,Kg / Pcs, 94, 108 , 119,113 , 155
Bihar,Siwan,Mustard leaves,Kg / Pcs, 12, 14 , 15,14 , 20
Bihar,Siwan,Okra (Ladies finger),Kg / Pcs, 41, 47 , 52,49 , 68
Bihar,Siwan,Onion Big,Kg / Pcs, 64, 74 , 81,77 , 106
Bihar,Siwan,Onion Small,Kg / Pcs, 139, 160 , 177,167 , 229
Bihar,Siwan,Plantain (raw banana),Kg / Pcs, 7, 8 , 9,8 , 12
Bihar,Siwan,Potato,Kg / Pcs, 35, 40 , 44,42 , 58
Bihar,Siwan,Pumpkin,Kg / Pcs, 19, 22 , 24,23 , 31
Bihar,Siwan,Radish (Daikon),Kg / Pcs, 34, 39 , 43,41 , 56
Bihar,Siwan,Ridge gourd,Kg / Pcs, 31, 36 , 39,37 , 51
Bihar,Siwan,Shallot (pearl onion),Kg / Pcs, 35, 40 , 44,42 , 58
Bihar,Siwan,Snake gourd,Kg / Pcs, 29, 33 , 37,35 , 48
Bihar,Siwan,Sorrel leaves,Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Siwan,Spinach,Kg / Pcs, 10, 12 , 13,12 , 17
Bihar,Siwan,Sweet potato,Kg / Pcs, 38, 44 , 48,46 , 63
Bihar,Siwan,Tomato,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Supaul,Amaranth leaves,Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Supaul,Amla,Kg / Pcs, 95, 109 , 121,114 , 157
Bihar,Supaul,Ash gourd,Kg / Pcs, 18, 21 , 23,22 , 30
Bihar,Supaul,Baby corn,Kg / Pcs, 66, 76 , 84,79 , 109
Bihar,Supaul,Banana flower,Kg / Pcs, 22, 25 , 28,26 , 36
Bihar,Supaul,Beetroot,Kg / Pcs, 32, 37 , 41,38 , 53
Bihar,Supaul,Bell Pepper (Capsicum),Kg / Pcs, 44, 51 , 56,53 , 73
Bihar,Supaul,Bitter gourd,Kg / Pcs, 36, 41 , 46,43 , 59
Bihar,Supaul,Bottlegourd,Kg / Pcs, 24, 28 , 30,29 , 40
Bihar,Supaul,Butter beans,Kg / Pcs, 49, 56 , 62,59 , 81
Bihar,Supaul,"Broad beans (Fava beans, lima beans)",Kg / Pcs, 52, 60 , 66,62 , 86
Bihar,Supaul,Cabbage,Kg / Pcs, 19, 22 , 24,23 , 31
Bihar,Supaul,Carrot,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Supaul,Cauliflower,Kg / Pcs, 25, 29 , 32,30 , 41
Bihar,Supaul,Cluster beans,Kg / Pcs, 44, 51 , 56,53 , 73
Bihar,Supaul,Coconut (fresh),Kg / Pcs, 32, 37 , 41,38 , 53
Bihar,Supaul,Colocasia leaves (Taro leaves),Kg / Pcs, 15, 17 , 19,18 , 25
Bihar,Supaul,Colocasia roots (Taro roots),Kg / Pcs, 27, 31 , 34,32 , 45
Bihar,Supaul,Coriander leaves (Cilantro),Kg / Pcs, 11, 13 , 14,13 , 18
Bihar,Supaul,Corn,Kg / Pcs, 30, 35 , 38,36 , 50
Bihar,Supaul,Cucumber,Kg / Pcs, 26, 30 , 33,31 , 43
Bihar,Supaul,Curry leaves,Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Supaul,Dill leaves,Kg / Pcs, 14, 16 , 18,17 , 23
Bihar,Supaul,Drumsticks,Kg / Pcs, 90, 104 , 114,108 , 149
Bihar,Supaul,Eggplant (Brinjal or Aubergine),Kg / Pcs, 28, 32 , 36,34 , 46
Bihar,Supaul,Brinjal ( Big ),Kg / Pcs, 21, 24 , 27,25 , 35
Bihar,Supaul,Elephant Yam,Kg / Pcs, 27, 31 , 34,32 , 45
Bihar,Supaul,Fenugreek leaves,Kg / Pcs, 11, 13 , 14,13 , 18
Bihar,Supaul,French Beans (Green beans),Kg / Pcs, 58, 67 , 74,70 , 96
Bihar,Supaul,Garlic,Kg / Pcs, 142, 163 , 180,170 , 234
Bihar,Supaul,Ginger,Kg / Pcs, 94, 108 , 119,113 , 155
Bihar,Supaul,Green chili,Kg / Pcs, 40, 46 , 51,48 , 66
Bihar,Supaul,Green onion (Scallian or Spring onion),Kg / Pcs, 40, 46 , 51,48 , 66
Bihar,Supaul,Green peas,Kg / Pcs, 85, 98 , 108,102 , 140
Bihar,Supaul,Ivy gourd,Kg / Pcs, 27, 31 , 34,32 , 45
Bihar,Supaul,Lemon (Lime),Kg / Pcs, 62, 71 , 79,74 , 102
Bihar,Supaul,Mango,Kg / Pcs, 74, 85 , 94,89 , 122
Bihar,Supaul,Mint leaves,Kg / Pcs, 3, 3 , 4,4 , 5
Bihar,Supaul,Mushroom,Kg / Pcs, 88, 101 , 112,106 , 145
Bihar,Supaul,Mustard leaves,Kg / Pcs, 14, 16 , 18,17 , 23
